Week,Date,Plan,Acutal,RPE (1-10),心情 (1-5),Feeling,Feedback
1,29/9/2025,6–8 km @ 6:00–6:20/km,5.21k @ 23:10 4:27/k,5,5,"Weather getting cooler and was faster the first program, feeling I can go faster than increase the speed without noticing","Great energy, but wrong zone for the day. 4:27/km is around MP/steady for you, not easy. It’s fine once, but we don’t want easy days turning into quality—consistency beats hero reps. 
Google Docs

Slight under-distance (5.2 km vs 6–8 km) isn’t a big deal, but the intensity traded for volume. Next time, better to hit the volume at true easy."
,30/9/2025,,,,,,
,1/10/2025,6–8 km easy + 4×20s strides,,,,,
,2/10/2025,6–7 km easy,7.44k @38:58 5.14/k,4,3,"Not having a good day, bit down on mood. Finish the run after work and take a quick nap, slow pace then easy breathing and legs felt light too. The left toe feels a bit hurt after the run though.","✔ 1. Distance is perfect

You hit the planned volume (slightly above 7 km). That’s good.

⚠ 2. Pace was too fast for an easy day

Your easy-day range right now is roughly 5:45–6:15/km, but you averaged 5:14/km, which is close to your steady pace / moderate aerobic zone.

Even if it feels light, the impact on fatigue and recovery is real — especially because your body is still building back up.

Going too fast on easy days will hurt your quality workouts and long runs later.

⸻

⚠ 3. RPE 4 means it wasn’t truly easy

Easy runs should feel like RPE 2–3. If mood was down and legs felt light, it was tempting to move faster, but we need to protect the training structure.

⸻

⚠ 4. Toe pain → early warning sign

Any pain in the left toe after the run means:
	•	Slight overloading
	•	Possibly tight shoes when pace increases
	•	Or early tendon/joint irritation

We’ll watch that. If it hurts again on the next run, we adjust immediately."
,3/10/2025,,,,,,
,4/10/2025,14–16 km @ 5:30–5:45/km,14.74k@1:19:41 / 5:24k,5,5,"Cloudy day, running in the morning and at a moderate temperature, not as cool as running at night so the speed would slow down a bit. In general leg is not too heavy and have a chill run, stopped a few times for water though","You executed well in terms of volume, but the intensity crept up above “easy.”
This wasn’t a disaster — but we need to reinforce discipline on long run pace, because:

“You get better at marathon pace by training below and above it — not by accidentally running every run near it.”

5:24/km sits right between your easy pace and future marathon pace, meaning it’s neither recovery nor specific workout — it’s gray zone."
,5/10/2025,,27.39k,,,,
2,6/10/2025,"

6–8 km 5:45–6:15/km",7.45k@39:18 / 5:17,3,5,"Cool weather, easy run didn't feel much fatigue from the run, refreshing. I think this pace is good enough for me as slow and recovery run, I can only run slower if I'm with someone or else it would be too bored for me to finish the run ","You felt easy — but 5:17/km is not physiologically easy, even if it feels smooth.

At your current fitness, 5:17/km is sitting right in the “gray zone” — not hard enough to stimulate adaptation, not easy enough to promote recovery. It feels fine now, but consistently doing this will:
	•	Accumulate hidden fatigue
	•	Make future tempo / long runs harder
	•	Possibly lead to niggles (like the toe from before)"
,7/10/2025,,,,,,
,8/10/2025,"6–8 km
4:20–4:25/km (tempo segment)",6.23k@27:44 / 4:27,5,5,"Bit hotter than the previous run, can't run that fast. Start slow and end faster but overall a bit slower than the expected pace, haven't been running tempo for a while, couldn't kept the speed for the whole time so I stopped a few times to recover","This is a solid first tempo back after a break.
Even though you stopped a few times, the effort zone was correct, and the average pace still sits right around your threshold zone.

👉 The main issue wasn’t fitness — it’s tempo endurance (ability to hold discomfort steadily), which will come back quickly in 2–3 sessions."
,9/10/2025,"6–7 km
5:45–6:15/km","5.09k@25:55 / 5:05
1hr HIIT",3,5,"Attend the running club and didn't find my friends so I kind of running faster just to catch up, still didn't catch up but turns out be a faster run. HIIT itself is not intense but focus on legs this time","Ran faster than planned while trying to catch up with the group; ended up doing 5.09 km @ 5:05/km plus 1 hr of leg-focused HIIT. Effort was solid, but overall intensity was moderate. Good aerobic and muscular work — just monitor fatigue before your next key session.

You handled the day well 👍 — that mix of a slightly faster run + lower-intensity HIIT is excellent balance. For recovery, take your next run easy (5:30–5:45/km) to keep legs fresh for the weekend long run."
,10/10/2025,,,,,,
,11/10/2025,"15–16 km
5:35–5:45/km first 10 km 
last 2–3 km 5:15–5:20/km",,,,,
,12/10/2025,,15.73k@1:23:38 / 5:19,3,5,"Saturday is raining then I switched my run to Sunday, easy stride easy run. I stopped a few time just to switch my podcast but that makes the distance reduce a little bit. My inner feet hurt a bit as I switch to an old damaged shoes, I might retired that shoes, it was scratching only nothing related to fatigue.","You ran longer and faster than the planned target (15.73 km at 5:19/km vs 14–16 km at 5:30–5:45/km), but your RPE was only 3, so the effort clearly stayed comfortable. That’s a good sign of improving aerobic strength. The only red flag is the foot irritation from the old shoes — definitely retire that pair so it doesn’t become a lingering issue.

Because this was supposed to be an easy long run, just make sure today’s faster pace doesn’t bleed into next week’s recovery. As long as your legs feel good and you stick to the right intensities in the coming sessions, no harm done. Let me know if the foot still feels off tomorrow."
,Week 2 summary,,34.5k,,,,"You’re clearly in good aerobic shape — your “easy” pace is naturally drifting faster. The main risk right now isn’t fitness, it’s cumulative fatigue and overtraining by stealth.

Big positives:
	•	No lingering fatigue despite faster pacing
	•	Left toe is fully fine ✅
	•	Tempo work is back in the mix
	•	Long run done strong even with a schedule swap
	•	HIIT + runs didn’t overload you

Minor warnings:
	•	Easy/recovery runs are consistently too fast
	•	Shoe-related irritation (ditch that pair now)
	•	Trekking next week will add leg load even if not “training”"
3,13/10/2025,,,,,,
,14/10/2025,,,,,,
,15/10/2025,,,,,,
,16/10/2025,,,,,,
,17/10/2025,,,,,,
,18/10/2025,,,,,,
,19/10/2025,,10.02k @ 57:55 / 5:47,3,5,"Easy run with my dad, though after 3 days of hike in yarigatake, my thighs are still a bit sore and have blisters at my feet. For this pace it was more like recovery run so it is ok, the hike itself isn't really tiring as it was separated with enough rest, except the last day coming down it was a bit fast and it cause some sore and stiffness building up",
4,20/10/2025,Rest or 4–5 km VERY easy jog,,,,,
,,,,,,,
,21/10/2025,,,,,,
,22/10/2025,Easy run 6–7 km @ 5:45–6:15/km,,,,,
